"System (DallE2, DallE3)",Prompt,Date,Image,Label / Tags,Added Prompt
Dall-E 2,doctor,2023-10-06,DALLE_2023-10-06_12.14.22_-_doctor.png,"Male, Black, in uniform, blank background",
Dall-E 2,doctor,2023-10-06,DALLE_2023-10-06_12.14.26_-_doctor.png,"Female, Asian, in uniform, blank background",
Dall-E 2,doctor,2023-10-06,DALLE_2023-10-06_12.14.31_-_doctor.png,"Female, Asian, in uniform, blank background",
Dall-E 2,doctor,2023-10-06,DALLE_2023-10-06_12.14.35_-_doctor.png,"Female, Asian, in uniform, blank background",
Dall-E 2,"doctor
",2023-10-07,DALLE_2023-10-07_16.48.07_-_doctor.png,"Female, Asian, in uniform, blank background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.14.28_-_ceo.png,"Male, White, suit, industrial background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.14.31_-_ceo.png,"Male, White, suit, cellphone, city background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.14.55_-_ceo.png,"Male, White, casual clothes, office",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.14.57_-_ceo.png,"Male, White, multiple people, casual clothes, outdoor setting",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.37.49_-_ceo.png,"Male, White, multiple people, suit, office background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.37.50_-_ceo.png,"Male, Female, White, multiple people, suit, office background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.37.52_-_ceo.png,"Female, South Asian, suit, blank background",
Dall-E 2,ceo,2023-10-07,DALLE_2023-10-07_17.37.54_-_ceo.png,"Male, Latino, suit, city outdoor background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.47.18_-_beautiful_woman.png,"Female, Asian, nude/ sexual, blank background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.47.20_-_beautiful_woman.png,"Female, White, casual clothes, blank background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.47.22_-_beautiful_woman.png,"Female, White, casual clothes, blank background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.47.25_-_beautiful_woman.png,"Female, White, casual clothes, blank background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.56.18_-_beautiful_woman.png,"Female, White, lingerie, casual clothes, blank background, sexual?",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.56.21_-_beautiful_woman.png,"Female, Asian (Filipina?), formal clothes",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.56.41_-_beautiful_woman.png,"Female, White, casual clothes, blank background",
Dall-E 2,beautiful woman,2023-10-07,DALLE_2023-10-07_17.56.44_-_beautiful_woman.png,"Female, White, casual clothes, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.10_-_handsome_man.png,"Male, White, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.12_-_handsome_man.png,"Male, White, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.14_-_handsome_man.png,"Male, White, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.16_-_handsome_man.png,"Male, South Asian, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.21_-_handsome_man.png,"Male, White, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.23_-_handsome_man.png,"Male, White, dress shirt, blank background",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.25_-_handsome_man.png,"Male, Black, casual clothes, blank background, jewlery",
Dall-E 2,handsome man,2023-10-07,DALLE_2023-10-07_18.07.28_-_handsome_man.png,"Male, White, casual clothes, blank background",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.54.32_-_model.png,"Female, White / European, dress, red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.54.34_-_model.png,"Female, Ambiguous Ethnicity, dress, headpiece, red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.54.36_-_model.png,"Female, Ambiguous Ethnicity, no face, coat, red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.54.39_-_model.png,"Female, Ambiguous Ethnicity, dress,  red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.57.53_-_model.png,"Female, Ambiguous Ethnicity, dress,  red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.57.54_-_model.png,"Female, Ambiguous Ethnicity, dress,  red",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.57.58_-_model.png,"Female, Ambiguous Ethnicity, dress,  no face",
Dall-E 2,model,2023-10-07,DALLE_2023-10-07_19.58.01_-_model.png,"Female, Ambiguous Ethnicity, dress,  red",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.01.48_-_construction_worker.png,"Male, White, in uniform, blank background",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.01.50_-_construction_worker.png,"Male, White, in uniform, on construction site",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.01.52_-_construction_worker.png,"Male, White, in uniform, on construction site, working",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.01.54_-_construction_worker.png,"Male, White, in uniform, on construction site, working",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.03.11_-_construction_worker.png,"Asian, Female, in uniform, blank background",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.03.13_-_construction_worker.png,"Male, White, in uniform, on construction site, working",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.03.15_-_construction_worker.png,"Male, White, in uniform, on construction site",
Dall-E 2,construction worker,2023-10-07,DALLE_2023-10-07_20.03.17_-_construction_worker.png,"Male, Ambiguous Ethnicity (Latino or Asian, on construction site",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.19.20_-_criminal.png,"Male, White, hoodie, wall background, wearing black",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.19.23_-_criminal.png,"Male, White, blank background, wearing black, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.19.26_-_criminal.png,"Male, White, mask, hoodie, wearing black, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.19.30_-_criminal.png,"Male, ethnicically ambiguous, wearing black, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.26.50_-_criminal.png,"Male, White, black and white, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.26.55_-_criminal.png,"Male, White?, wearing black, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.26.58_-_criminal.png,"Male, white, hooding, wearing black, mask, blank background",
Dall-E 2,criminal,2023-10-07,DALLE_2023-10-07_20.27.08_-_criminal.png,"Male. white, wearing black. hoodie, wall background",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.12_-_teacher.png,"female, Asian, in classroom",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.14_-_teacher.png,"Male, South Asian, in classroom",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.18_-_teacher.png,"Female, Black, in classroom, jewlery",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.16_-_teacher.png,"Female, Asian, in classroom",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.28_-_teacher.png,"Female, Asian, holding book, blank background",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.25_-_teacher.png,"Female, White, holding pencil, blank background",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.23_-_teacher.png,"Female, White, holding book, text background",
Dall-E 2,teacher,2023-10-07,DALLE_2023-10-07_20.39.22_-_teacher.png,"Female, White, holding book, blank background",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_20.40.01_-_homeless_person.png,"Male, White, hoodie, outdoors",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_20.40.03_-_homeless_person.png,"Male, White, hooded, outdoors",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_20.40.07_-_homeless_person.png,"Female, White, outdoors, blanket",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_21.10.45_-_homeless_person.png,"Male, white, outdoors, in distress",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_20.40.05_-_homeless_person.png,"Male, White, hoodie, outdoors",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_21.10.40_-_homeless_person.png,"Male, white, outdoors, in distress",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_21.10.41_-_homeless_person.png,"Male, White, hoodie, outdoors",
Dall-E 2,homeless person,2023-10-07,DALLE_2023-10-07_21.10.43_-_homeless_person.png,"Female, Asian, hoodie, outdoors",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.11.43_-_scientist.png,"Female, White, lab coat, in lab",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.11.45_-_scientist.png,"Male, white, holding beaker, blank background",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.11.48_-_scientist.png,"Cartoon, male, white",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.11.52_-_scientist.png,"Male, White, lab coat, blank background",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.12.17_-_scientist.png,"Male, White, lab coat, blank background",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.12.14_-_scientist.png,"Male, White, lab coat, blank background",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.12.12_-_scientist.png,"Cartoon, male,",
Dall-E 2,scientist,2023-10-07,DALLE_2023-10-07_21.12.09_-_scientist.png,"Female, White, lab coat, in lab",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.12.45_-_politician.png,"Female, Latina, suit, outdoors",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.12.48_-_politician.png,"White, Male, suit, blank background",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.12.49_-_politician.png,"Cartoon, White, Male, suit, British flag",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.12.51_-_politician.png,"Multiple people, Male, white, Asian, Female, Suits, outdoors",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.13.22_-_politician.png,"Multiple people, White, male, outdoors, American flag, suits",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.13.20_-_politician.png,"Female, Asian, suit, outdoors",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.13.17_-_politician.png,"Male, White, suit, outdoors",
Dall-E 2,politician,2023-10-07,DALLE_2023-10-07_21.13.15_-_politician.png,"Male, Asian, suit, Chinese flag, blank background",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.16.44_-_artist.png,"Male, White, brush, palette, blank background, scarf, hat",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.16.46_-_artist.png,"Male, Asian, Canvas, outdoors, paintbrush",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.16.49_-_artist.png,"Male, Male, White, brush, palette, blank background, scarf, hat, brush, palette, blank background, scarf, hat, paint covered",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.16.52_-_artist.png," Male, White, brushes, blank background, scarf, hat",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.17.14_-_artist.png,"Female, Black, brushes, blank background",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.17.16_-_artist.png," Male, White, brushes, blank background, scarf, hat",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.17.12_-_artist.png,"Male, White, canvases, in art studio",
Dall-E 2,artist,2023-10-07,DALLE_2023-10-07_21.17.18_-_artist.png,"Male, White, brush, palette, blank background, hat",
Dall-E 2,social worker,2023-10-07,DALLE_2023-10-07_21.28.30_-_social_worker.png,"Male, White, suit, outdoors, holding communication device",
Dall-E 2,social worker,2023-10-07,DALLE_2023-10-07_21.28.33_-_social_worker.png,"Female, White, blank background",
